start_timestamp,original_round_index,original_test_id,merged_round_index,merged_test_id,step_evaluation,true_attack_type,predicted_attack_type,target_field,target_value,predicted_fail_score,absolute_error,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,timestamp
20260516_110816,5,76,5,76,20260516_110816|round_005|test_0076,ModelTampAttack,ModelTampAttack,fused_score,0.12108331173658371,0.537077093837045,0.41599378210046134,0.03799301476180001,0.09892273775921746,0.009211775018110883,0.03911993085071274,0.03382305244006919,0.045039076064482396,0.005038295312042371,0.016773564022740703,0.004925079574955659,0.0050847317225091,0.005874942207595599,0.004706417421993517,0.022226121386212976,0.0023529693034032967,0.00249071062118639,0.6664175815329676,2026-05-21T08:05:18+00:00
20260516_110816,5,77,5,77,20260516_110816|round_005|test_0077,NoAttack,NoAttack,fused_score,2.3048646369261405e-07,0.082053602948892,0.0820533724624283,0.14276437770792214,0.1800515876002523,0.06943852529664664,0.010835113902291992,0.013541163463112486,0.006114512616342379,0.18336780235597153,0.05079111730089188,0.04231770227806247,0.029163850552691266,0.06824080692335387,0.10832792330734779,0.02436784175706634,0.006708784760362127,0.009851390878480712,0.05411749929920424,2026-05-21T08:05:18+00:00
20260516_110816,5,78,5,78,20260516_110816|round_005|test_0078,NoAttack,NoAttack,fused_score,0.18280687928199768,0.054091369530953504,0.12871550975104418,0.007203409745456222,0.04581538684739238,0.0021488138074369036,0.15733967728770312,0.16723662159735445,0.000801000007158838,0.019826265627839033,0.0858191232570255,0.04404783072455102,0.005674343495377707,0.01979137918301005,0.1581144970801756,0.07478303877621173,0.08030392158103498,0.004421754808056168,0.12667293617421632,2026-05-21T08:05:18+00:00
20260516_110816,5,79,5,79,20260516_110816|round_005|test_0079,StateObservationAttack,StateObservationAttack,fused_score,0.40020206570625305,0.051563985637280874,0.3486380800689722,0.0052344708260797365,0.28961453612303784,0.05249069475658037,0.0003945842341415068,0.07419808842566814,0.023037981308570467,0.1910913264083421,0.01657617286223778,0.12333432350793937,0.007813363003715292,0.04152794990535204,0.039059394775165616,0.046558148896181054,0.008797337675748109,0.024966974642412383,0.0553046526488281,2026-05-21T08:05:18+00:00
20260516_110816,5,80,5,80,20260516_110816|round_005|test_0080,NoAttack,NoAttack,fused_score,0.14351394772529602,0.2951440845369565,0.1516301368116605,0.23379780571010086,0.15321929908313697,0.2086070383407066,0.1588957539935129,0.005645251588320249,0.004949670071486292,0.07142129213276978,0.013532605210525107,0.014449069378180775,0.05301573219578669,0.009179587440711285,0.03854681286890645,0.011205599451865089,0.00027980060125592376,0.010066930188298075,0.013187751744437046,2026-05-21T08:05:18+00:00
20260516_110816,5,81,5,81,20260516_110816|round_005|test_0081,NoAttack,NoAttack,fused_score,1.1346887731633615e-05,0.04363710880801225,0.043625761920280615,0.09459761402366078,0.08222301653728804,0.06690222555516515,0.11764365096688756,0.02856124155670286,0.010995263283292452,0.2636146655236355,0.006639454655529746,0.060882236481540584,0.16696874158453265,0.034533307536554876,0.029699374855432576,0.00788915393586242,0.008339006910326324,0.005821304730604745,0.014689741862983746,2026-05-21T08:05:18+00:00
20260516_110816,6,82,6,82,20260516_110816|round_006|test_0082,NoAttack,NoAttack,fused_score,2.0088931407258315e-08,0.006897127860479607,0.0068971077715482,0.019036964714015076,0.1928044592848871,0.042243696497168345,0.08022456600495118,0.007893175278249846,0.003994194610476964,0.09319515277092869,0.03088210042792934,0.11691860489630132,0.056278003763072106,0.12040592584986304,0.016698496722213352,0.10279873871262463,0.02347907212744025,0.04801119610199307,0.04513565223788583,2026-05-21T08:05:18+00:00
20260516_110816,6,83,6,83,20260516_110816|round_006|test_0083,ActionAttack,StateObservationAttack,fused_score,2.7410245820647106e-05,0.0715128542843963,0.07148544403857565,0.1338989950953747,0.009571360529391719,0.12487402503847363,0.02807932010578938,0.0299072155195267,0.056246103315909936,0.03113400158469984,0.000643320182514383,0.1112554761652345,0.008042384276094194,0.06618299711022468,0.3264863812621859,0.03189929741594666,0.01092592374541506,0.009821218082507409,0.021031980570711394,2026-05-21T08:05:18+00:00
20260516_110816,6,84,6,84,20260516_110816|round_006|test_0084,NoAttack,NoAttack,fused_score,1.49777399371942e-08,0.031920550182365226,0.03192053520462529,0.005304892220501392,0.15672715572768267,0.13958869038600163,0.026629052187904557,0.03491050163468213,0.23653873038035414,0.07578454011448621,0.018175952077464894,0.05342299134740924,0.053790505438179724,0.0207821074496514,0.019336647218968984,0.030651005946884857,0.02439155816606233,0.049675577696967926,0.054290092006797935,2026-05-21T08:05:18+00:00
20260516_110816,6,85,6,85,20260516_110816|round_006|test_0085,ActionAttack,ModelTampAttack,fused_score,0.0006045890040695667,-0.05548107220699816,0.05608566121106773,0.10883121795162637,0.03608250800041851,0.02870014381659469,0.13660609391582682,0.022354641977781226,0.08519151086522708,0.008819615810937733,0.00032954752224249954,0.2639429342791208,0.05519878266080917,0.012190046861099797,0.12484067355312312,0.02442052606865001,0.022837423233243625,0.0033393511603542364,0.0663149823229443,2026-05-21T08:05:18+00:00
